,Date, Open, High, Low, Close
454,2015-03-16,2055.35,2081.41,2055.35,2081.19
453,2015-03-17,2080.59,2080.59,2065.08,2074.28
452,2015-03-18,2072.84,2106.85,2061.23,2099.5
451,2015-03-19,2098.69,2098.69,2085.56,2089.27
450,2015-03-20,2090.32,2113.92,2090.32,2108.1
449,2015-03-23,2107.99,2114.86,2104.42,2104.42
448,2015-03-24,2103.94,2107.63,2091.5,2091.5
447,2015-03-25,2093.1,2097.43,2061.05,2061.05
446,2015-03-26,2059.94,2067.15,2045.5,2056.15
445,2015-03-27,2055.78,2062.83,2052.96,2061.02
444,2015-03-30,2064.11,2088.97,2064.11,2086.24
443,2015-03-31,2084.05,2084.05,2067.04,2067.89
442,2015-04-01,2067.63,2067.63,2048.38,2059.69
441,2015-04-02,2060.03,2072.17,2057.32,2066.96
440,2015-04-06,2064.87,2086.99,2056.52,2080.62
439,2015-04-07,2080.79,2089.81,2076.1,2076.33
438,2015-04-08,2076.94,2086.69,2073.3,2081.9
437,2015-04-09,2081.29,2093.31,2074.29,2091.18
436,2015-04-10,2091.51,2102.61,2091.51,2102.06
435,2015-04-13,2102.03,2107.65,2092.33,2092.43
434,2015-04-14,2092.28,2098.62,2083.24,2095.84
433,2015-04-15,2097.82,2111.91,2097.82,2106.63
432,2015-04-16,2105.96,2111.3,2100.02,2104.99
431,2015-04-17,2102.58,2102.58,2072.37,2081.18
430,2015-04-20,2084.11,2103.94,2084.11,2100.4
429,2015-04-21,2102.82,2109.64,2094.38,2097.29
428,2015-04-22,2098.27,2109.98,2091.05,2107.96
427,2015-04-23,2107.21,2120.49,2103.19,2112.93
426,2015-04-24,2112.8,2120.92,2112.8,2117.69
425,2015-04-27,2119.29,2125.92,2107.04,2108.92
424,2015-04-28,2108.35,2116.09,2094.89,2114.76
423,2015-04-29,2112.49,2113.65,2097.41,2106.85
422,2015-04-30,2105.52,2105.52,2077.59,2085.51
421,2015-05-01,2087.38,2108.41,2087.38,2108.29
420,2015-05-04,2110.23,2120.95,2110.23,2114.49
419,2015-05-05,2112.63,2115.24,2088.46,2089.46
418,2015-05-06,2091.26,2098.42,2067.93,2080.15
417,2015-05-07,2079.96,2092.9,2074.99,2088.0
416,2015-05-08,2092.13,2117.66,2092.13,2116.1
415,2015-05-11,2115.56,2117.69,2104.58,2105.33
414,2015-05-12,2102.87,2105.06,2085.57,2099.12
413,2015-05-13,2099.62,2110.19,2096.04,2098.48
412,2015-05-14,2100.43,2121.45,2100.43,2121.1
411,2015-05-15,2122.07,2123.89,2116.79,2122.73
410,2015-05-18,2121.3,2131.78,2120.01,2129.2
409,2015-05-19,2129.45,2133.02,2124.5,2127.83
408,2015-05-20,2127.79,2134.72,2122.59,2125.85
407,2015-05-21,2125.55,2134.28,2122.95,2130.82
406,2015-05-22,2130.36,2132.15,2126.06,2126.06
405,2015-05-26,2125.34,2125.34,2099.18,2104.2
404,2015-05-27,2105.13,2126.22,2105.13,2123.48
403,2015-05-28,2122.27,2122.27,2112.86,2120.79
402,2015-05-29,2120.66,2120.66,2104.89,2107.39
401,2015-06-01,2108.64,2119.15,2102.54,2111.73
400,2015-06-02,2110.41,2117.59,2099.14,2109.6
399,2015-06-03,2110.64,2121.92,2109.61,2114.07
398,2015-06-04,2112.35,2112.89,2093.23,2095.84
397,2015-06-05,2095.09,2100.99,2085.67,2092.83
396,2015-06-08,2092.34,2093.01,2079.11,2079.28
395,2015-06-09,2079.07,2085.62,2072.14,2080.15
394,2015-06-10,2081.12,2108.5,2081.12,2105.2
393,2015-06-11,2106.24,2115.02,2106.24,2108.86
392,2015-06-12,2107.43,2107.43,2091.33,2094.11
391,2015-06-15,2091.34,2091.34,2072.49,2084.43
390,2015-06-16,2084.26,2097.4,2082.1,2096.29
389,2015-06-17,2097.4,2106.79,2088.86,2100.44
388,2015-06-18,2101.58,2126.65,2101.58,2121.24
387,2015-06-19,2121.06,2121.64,2109.45,2109.99
386,2015-06-22,2112.5,2129.87,2112.5,2122.85
385,2015-06-23,2123.16,2128.03,2119.89,2124.2
384,2015-06-24,2123.65,2125.1,2108.58,2108.58
383,2015-06-25,2109.96,2116.04,2101.78,2102.31
382,2015-06-26,2102.62,2108.92,2095.38,2101.49
381,2015-06-29,2098.63,2098.63,2056.64,2057.64
380,2015-06-30,2061.19,2074.28,2056.32,2063.11
379,2015-07-01,2067.0,2082.78,2067.0,2077.42
378,2015-07-02,2078.03,2085.06,2071.02,2076.78
377,2015-07-06,2073.95,2078.61,2058.4,2068.76
376,2015-07-07,2069.52,2083.74,2044.02,2081.34
375,2015-07-08,2077.66,2077.66,2044.66,2046.68
374,2015-07-09,2049.73,2074.28,2049.73,2051.31
373,2015-07-10,2052.74,2081.31,2052.74,2076.62
372,2015-07-13,2080.03,2100.67,2080.03,2099.6
371,2015-07-14,2099.72,2111.98,2098.18,2108.95
370,2015-07-15,2109.01,2114.14,2102.49,2107.4
369,2015-07-16,2110.55,2124.42,2110.55,2124.29
368,2015-07-17,2126.8,2128.91,2119.88,2126.64
367,2015-07-20,2126.85,2132.82,2123.65,2128.28
366,2015-07-21,2127.55,2128.49,2115.4,2119.21
365,2015-07-22,2118.21,2118.51,2110.0,2114.15
364,2015-07-23,2114.16,2116.87,2098.63,2102.15
363,2015-07-24,2102.24,2106.01,2077.09,2079.65
362,2015-07-27,2078.19,2078.19,2063.52,2067.64
361,2015-07-28,2070.75,2095.6,2069.09,2093.25
360,2015-07-29,2094.7,2110.6,2094.08,2108.57
359,2015-07-30,2106.78,2110.48,2094.97,2108.63
358,2015-07-31,2111.6,2114.24,2102.07,2103.84
357,2015-08-03,2104.49,2105.7,2087.31,2098.04
356,2015-08-04,2097.68,2102.51,2088.6,2093.32
355,2015-08-05,2095.27,2112.66,2095.27,2099.84
354,2015-08-06,2100.75,2103.32,2075.53,2083.56
353,2015-08-07,2082.61,2082.61,2067.91,2077.57
352,2015-08-10,2080.98,2105.35,2080.98,2104.18
351,2015-08-11,2102.66,2102.66,2076.49,2084.07
350,2015-08-12,2081.1,2089.06,2052.09,2086.05
349,2015-08-13,2086.19,2092.93,2078.26,2083.39
348,2015-08-14,2083.15,2092.45,2080.61,2091.54
347,2015-08-17,2089.7,2102.87,2079.3,2102.44
346,2015-08-18,2101.99,2103.47,2094.14,2096.92
345,2015-08-19,2095.69,2096.17,2070.53,2079.61
344,2015-08-20,2076.61,2076.61,2035.73,2035.73
343,2015-08-21,2034.08,2034.08,1970.89,1970.89
342,2015-08-24,1965.15,1965.15,1867.01,1893.21
341,2015-08-25,1898.08,1948.04,1867.08,1867.61
340,2015-08-26,1872.75,1943.09,1872.75,1940.51
339,2015-08-27,1942.77,1989.6,1942.77,1987.66
338,2015-08-28,1986.06,1993.48,1975.19,1988.87
337,2015-08-31,1986.73,1986.73,1965.98,1972.18
336,2015-09-01,1970.09,1970.09,1903.07,1913.85
335,2015-09-02,1916.52,1948.91,1916.52,1948.86
334,2015-09-03,1950.79,1975.01,1944.72,1951.13
333,2015-09-04,1947.76,1947.76,1911.21,1921.22
332,2015-09-08,1927.3,1970.42,1927.3,1969.41
331,2015-09-09,1971.45,1988.63,1937.88,1942.04
330,2015-09-10,1941.59,1965.29,1937.19,1952.29
329,2015-09-11,1951.45,1961.05,1939.19,1961.05
328,2015-09-14,1963.06,1963.06,1948.27,1953.03
327,2015-09-15,1955.1,1983.19,1954.3,1978.09
326,2015-09-16,1978.02,1997.26,1977.93,1995.31
325,2015-09-17,1995.33,2020.86,1986.73,1990.2
324,2015-09-18,1989.66,1989.66,1953.45,1958.03
323,2015-09-21,1960.84,1979.64,1955.8,1966.97
322,2015-09-22,1961.39,1961.39,1929.22,1942.74
321,2015-09-23,1943.24,1949.52,1932.57,1938.76
320,2015-09-24,1934.81,1937.17,1908.92,1932.24
319,2015-09-25,1935.93,1952.89,1921.5,1931.34
318,2015-09-28,1929.18,1929.18,1879.21,1881.77
317,2015-09-29,1881.9,1899.48,1871.91,1884.09
316,2015-09-30,1887.14,1920.53,1887.14,1920.03
315,2015-10-01,1919.65,1927.21,1900.7,1923.82
314,2015-10-02,1921.77,1951.36,1893.7,1951.36
313,2015-10-05,1954.33,1989.17,1954.33,1987.05
312,2015-10-06,1986.63,1991.62,1971.99,1979.92
311,2015-10-07,1982.34,1999.31,1976.44,1995.83
310,2015-10-08,1994.01,2016.5,1987.53,2013.43
309,2015-10-09,2013.73,2020.13,2007.61,2014.89
308,2015-10-12,2015.65,2018.66,2010.55,2017.46
307,2015-10-13,2015.0,2022.34,2001.78,2003.69
306,2015-10-14,2003.66,2009.56,1990.73,1994.24
305,2015-10-15,1996.47,2024.15,1996.47,2023.86
304,2015-10-16,2024.37,2033.54,2020.46,2033.11
303,2015-10-19,2031.73,2034.45,2022.31,2033.66
302,2015-10-20,2033.13,2039.12,2026.61,2030.77
301,2015-10-21,2033.47,2037.97,2017.22,2018.94
300,2015-10-22,2021.88,2055.2,2021.88,2052.51
299,2015-10-23,2058.19,2079.74,2058.19,2075.15
298,2015-10-26,2075.08,2075.14,2066.53,2071.18
297,2015-10-27,2068.75,2070.37,2058.84,2065.89
296,2015-10-28,2066.48,2090.35,2063.11,2090.35
295,2015-10-29,2088.35,2092.52,2082.63,2089.41
294,2015-10-30,2090.0,2094.32,2079.34,2079.36
293,2015-11-02,2080.76,2106.2,2080.76,2104.05
292,2015-11-03,2102.63,2116.48,2097.51,2109.79
291,2015-11-04,2110.6,2114.59,2096.98,2102.31
290,2015-11-05,2101.68,2108.78,2090.41,2099.93
289,2015-11-06,2098.6,2101.91,2083.74,2099.2
288,2015-11-09,2096.56,2096.56,2068.24,2078.58
287,2015-11-10,2077.19,2083.67,2069.91,2081.72
286,2015-11-11,2083.41,2086.94,2074.85,2075.0
285,2015-11-12,2072.29,2072.29,2045.66,2045.97
284,2015-11-13,2044.64,2044.64,2022.02,2023.04
283,2015-11-16,2022.08,2053.22,2019.39,2053.19
282,2015-11-17,2053.67,2066.69,2045.9,2050.44
281,2015-11-18,2051.99,2085.31,2051.99,2083.58
280,2015-11-19,2083.7,2086.74,2078.76,2081.24
279,2015-11-20,2082.82,2097.06,2082.82,2089.17
278,2015-11-23,2089.41,2095.61,2081.39,2086.59
277,2015-11-24,2084.42,2094.12,2070.29,2089.14
276,2015-11-25,2089.3,2093.0,2086.3,2088.87
275,2015-11-27,2088.82,2093.29,2084.13,2090.11
274,2015-11-30,2090.95,2093.81,2080.41,2080.41
273,2015-12-01,2082.93,2103.37,2082.93,2102.63
272,2015-12-02,2101.71,2104.27,2077.11,2079.51
271,2015-12-03,2080.71,2085.0,2042.35,2049.62
270,2015-12-04,2051.24,2093.84,2051.24,2091.69
269,2015-12-07,2090.42,2090.42,2066.78,2077.07
268,2015-12-08,2073.39,2073.85,2052.32,2063.59
267,2015-12-09,2061.17,2080.33,2036.53,2047.62
266,2015-12-10,2047.93,2067.65,2045.67,2052.23
265,2015-12-11,2047.27,2047.27,2008.8,2012.37
264,2015-12-14,2013.37,2022.92,1993.26,2021.94
263,2015-12-15,2025.55,2053.87,2025.55,2043.41
262,2015-12-16,2046.5,2076.72,2042.43,2073.07
261,2015-12-17,2073.76,2076.37,2041.66,2041.89
260,2015-12-18,2040.81,2040.81,2005.33,2005.55
259,2015-12-21,2010.27,2022.9,2005.93,2021.15
258,2015-12-22,2023.15,2042.74,2020.49,2038.97
257,2015-12-23,2042.2,2064.73,2042.2,2064.29
256,2015-12-24,2063.52,2067.36,2058.73,2060.99
255,2015-12-28,2057.77,2057.77,2044.2,2056.5
254,2015-12-29,2060.54,2081.56,2060.54,2078.36
253,2015-12-30,2077.34,2077.34,2061.97,2063.36
252,2015-12-31,2060.59,2062.54,2043.62,2043.94
251,2016-01-04,2038.2,2038.2,1989.68,2012.66
250,2016-01-05,2013.78,2021.94,2004.17,2016.71
249,2016-01-06,2011.71,2011.71,1979.05,1990.26
248,2016-01-07,1985.32,1985.32,1938.83,1943.09
247,2016-01-08,1945.97,1960.4,1918.46,1922.03
246,2016-01-11,1926.12,1935.65,1901.1,1923.67
245,2016-01-12,1927.83,1947.38,1914.35,1938.68
244,2016-01-13,1940.34,1950.33,1886.41,1890.28
243,2016-01-14,1891.68,1934.47,1878.93,1921.84
242,2016-01-15,1916.68,1916.68,1857.83,1880.33
241,2016-01-19,1888.66,1901.44,1864.6,1881.33
240,2016-01-20,1876.18,1876.18,1812.29,1859.33
239,2016-01-21,1861.46,1889.85,1848.98,1868.99
238,2016-01-22,1877.4,1908.85,1877.4,1906.9
237,2016-01-25,1906.28,1906.28,1875.97,1877.08
236,2016-01-26,1878.79,1906.73,1878.79,1903.63
235,2016-01-27,1902.52,1916.99,1872.7,1882.95
234,2016-01-28,1885.22,1902.96,1873.65,1893.36
233,2016-01-29,1894.0,1940.24,1894.0,1940.24
232,2016-02-01,1936.94,1947.2,1920.3,1939.38
231,2016-02-02,1935.26,1935.26,1897.29,1903.03
230,2016-02-03,1907.07,1918.01,1872.23,1912.53
229,2016-02-04,1911.67,1927.35,1900.52,1915.45
228,2016-02-05,1913.07,1913.07,1872.65,1880.05
227,2016-02-08,1873.25,1873.25,1828.46,1853.44
226,2016-02-09,1848.46,1868.25,1834.94,1852.21
225,2016-02-10,1857.1,1881.6,1850.32,1851.86
224,2016-02-11,1847.0,1847.0,1810.1,1829.08
223,2016-02-12,1833.4,1864.78,1833.4,1864.78
222,2016-02-16,1871.44,1895.77,1871.44,1895.58
221,2016-02-17,1898.8,1930.68,1898.8,1926.82
220,2016-02-18,1927.57,1930.0,1915.09,1917.83
219,2016-02-19,1916.74,1918.78,1902.17,1917.78
218,2016-02-22,1924.44,1946.7,1924.44,1945.5
217,2016-02-23,1942.38,1942.38,1919.44,1921.27
216,2016-02-24,1917.56,1932.08,1891.0,1929.8
215,2016-02-25,1931.87,1951.83,1925.41,1951.7
214,2016-02-26,1954.95,1962.96,1945.78,1948.05
213,2016-02-29,1947.13,1958.27,1931.81,1932.23
212,2016-03-01,1937.09,1978.35,1937.09,1978.35
211,2016-03-02,1976.6,1986.51,1968.8,1986.45
210,2016-03-03,1985.6,1993.69,1977.37,1993.4
209,2016-03-04,1994.01,2009.13,1986.77,1999.99
208,2016-03-07,1996.11,2006.12,1989.38,2001.76
207,2016-03-08,1996.88,1996.88,1977.43,1979.26
206,2016-03-09,1981.44,1992.69,1979.84,1989.26
205,2016-03-10,1990.97,2005.08,1969.25,1989.57
204,2016-03-11,1994.71,2022.37,1994.71,2022.19
203,2016-03-14,2019.27,2024.57,2012.05,2019.64
202,2016-03-15,2015.27,2015.94,2005.23,2015.93
201,2016-03-16,2014.24,2032.02,2010.04,2027.22
200,2016-03-17,2026.9,2046.24,2022.16,2040.59
199,2016-03-18,2041.16,2052.36,2041.16,2049.58
198,2016-03-21,2047.88,2053.91,2043.14,2051.6
197,2016-03-22,2048.64,2056.6,2040.57,2049.8
196,2016-03-23,2048.55,2048.55,2034.86,2036.71
195,2016-03-24,2032.48,2036.04,2022.49,2035.94
194,2016-03-28,2037.89,2042.67,2031.96,2037.05
193,2016-03-29,2035.75,2055.91,2028.31,2055.01
192,2016-03-30,2058.27,2072.21,2058.27,2063.95
191,2016-03-31,2063.77,2067.92,2057.46,2059.74
190,2016-04-01,2056.62,2075.07,2043.98,2072.78
189,2016-04-04,2073.19,2074.02,2062.57,2066.13
188,2016-04-05,2062.5,2062.5,2042.56,2045.17
187,2016-04-06,2045.56,2067.33,2043.09,2066.66
186,2016-04-07,2063.01,2063.01,2033.8,2041.91
185,2016-04-08,2045.54,2060.63,2041.69,2047.6
184,2016-04-11,2050.23,2062.93,2041.88,2041.99
183,2016-04-12,2043.72,2065.05,2039.74,2061.72
182,2016-04-13,2065.92,2083.18,2065.92,2082.42
181,2016-04-14,2082.89,2087.84,2078.13,2082.78
180,2016-04-15,2083.1,2083.22,2076.31,2080.73
179,2016-04-18,2078.83,2094.66,2073.65,2094.34
178,2016-04-19,2096.05,2104.05,2091.68,2100.8
177,2016-04-20,2101.52,2111.05,2096.32,2102.4
176,2016-04-21,2102.09,2103.78,2088.52,2091.48
175,2016-04-22,2091.49,2094.32,2081.2,2091.58
174,2016-04-25,2089.37,2089.37,2077.52,2087.79
173,2016-04-26,2089.84,2096.87,2085.8,2091.7
172,2016-04-27,2092.33,2099.89,2082.31,2095.15
171,2016-04-28,2090.93,2099.3,2071.62,2075.81
170,2016-04-29,2071.82,2073.85,2052.28,2065.3
169,2016-05-02,2067.17,2083.42,2066.11,2081.43
168,2016-05-03,2077.18,2077.18,2054.89,2063.37
167,2016-05-04,2060.3,2060.3,2045.55,2051.12
166,2016-05-05,2052.95,2060.23,2045.77,2050.63
165,2016-05-06,2047.77,2057.72,2039.45,2057.14
164,2016-05-09,2057.55,2064.15,2054.31,2058.69
163,2016-05-10,2062.63,2084.87,2062.63,2084.39
162,2016-05-11,2083.29,2083.29,2064.46,2064.46
161,2016-05-12,2067.17,2073.99,2053.13,2064.11
160,2016-05-13,2062.5,2066.79,2043.13,2046.61
159,2016-05-16,2046.53,2071.88,2046.53,2066.66
158,2016-05-17,2065.04,2065.69,2040.82,2047.21
157,2016-05-18,2044.38,2060.61,2034.49,2047.63
156,2016-05-19,2044.21,2044.21,2025.91,2040.04
155,2016-05-20,2041.88,2058.35,2041.88,2052.32
154,2016-05-23,2052.23,2055.58,2047.26,2048.04
153,2016-05-24,2052.65,2079.67,2052.65,2076.06
152,2016-05-25,2078.93,2094.73,2078.93,2090.54
151,2016-05-26,2091.44,2094.3,2087.08,2090.1
150,2016-05-27,2090.06,2099.06,2090.06,2099.06
149,2016-05-31,2100.13,2103.48,2088.66,2096.96
148,2016-06-01,2093.94,2100.97,2085.1,2099.33
147,2016-06-02,2097.71,2105.26,2088.59,2105.26
146,2016-06-03,2104.07,2104.07,2085.36,2099.13
145,2016-06-06,2100.83,2113.36,2100.83,2109.41
144,2016-06-07,2110.18,2119.22,2110.18,2112.13
143,2016-06-08,2112.71,2120.55,2112.71,2119.12
142,2016-06-09,2115.65,2117.64,2107.73,2115.48
141,2016-06-10,2109.57,2109.57,2089.96,2096.07
140,2016-06-13,2091.75,2098.12,2078.46,2079.06
139,2016-06-14,2076.65,2081.3,2064.1,2075.32
138,2016-06-15,2077.6,2085.65,2069.8,2071.5
137,2016-06-16,2066.36,2079.62,2050.37,2077.99
136,2016-06-17,2078.2,2078.2,2062.84,2071.22
135,2016-06-20,2075.58,2100.66,2075.58,2083.25
134,2016-06-21,2085.19,2093.66,2083.02,2088.9
133,2016-06-22,2089.75,2099.71,2084.36,2085.45
132,2016-06-23,2092.8,2113.32,2092.8,2113.32
131,2016-06-24,2103.81,2103.81,2032.57,2037.41
130,2016-06-27,2031.45,2031.45,1991.68,2000.54
129,2016-06-28,2006.67,2036.09,2006.67,2036.09
128,2016-06-29,2042.69,2073.13,2042.69,2070.77
127,2016-06-30,2073.17,2098.94,2070.0,2098.86
126,2016-07-01,2099.34,2108.71,2097.9,2102.95
125,2016-07-05,2095.05,2095.05,2080.86,2088.55
124,2016-07-06,2084.43,2100.72,2074.02,2099.73
123,2016-07-07,2100.42,2109.08,2089.39,2097.9
122,2016-07-08,2106.97,2131.71,2106.97,2129.9
121,2016-07-11,2131.72,2143.16,2131.72,2137.16
120,2016-07-12,2139.5,2155.4,2139.5,2152.14
119,2016-07-13,2153.81,2156.45,2146.21,2152.43
118,2016-07-14,2157.88,2168.99,2157.88,2163.75
117,2016-07-15,2165.13,2169.05,2155.79,2161.74
116,2016-07-18,2162.04,2168.35,2159.63,2166.89
115,2016-07-19,2163.79,2164.63,2159.01,2163.78
114,2016-07-20,2166.1,2175.63,2164.89,2173.02
113,2016-07-21,2172.91,2174.56,2159.75,2165.17
112,2016-07-22,2166.47,2175.11,2163.24,2175.03
111,2016-07-25,2173.71,2173.71,2161.95,2168.48
110,2016-07-26,2168.97,2173.54,2160.18,2169.18
109,2016-07-27,2169.81,2174.98,2159.07,2166.58
108,2016-07-28,2166.05,2172.85,2159.74,2170.06
107,2016-07-29,2168.83,2177.09,2163.49,2173.6
106,2016-08-01,2173.15,2178.29,2166.21,2170.84
105,2016-08-02,2169.94,2170.2,2147.58,2157.03
104,2016-08-03,2156.81,2163.79,2152.56,2163.79
103,2016-08-04,2163.51,2168.19,2159.07,2164.25
102,2016-08-05,2168.79,2182.87,2168.79,2182.87
101,2016-08-08,2183.76,2185.44,2177.85,2180.89
100,2016-08-09,2182.24,2187.66,2178.61,2181.74
99,2016-08-10,2182.81,2183.41,2172.0,2175.49
98,2016-08-11,2177.97,2188.45,2177.97,2185.79
97,2016-08-12,2183.74,2186.28,2179.42,2184.05
96,2016-08-15,2186.08,2193.81,2186.08,2190.15
95,2016-08-16,2186.24,2186.24,2178.14,2178.15
94,2016-08-17,2177.84,2183.08,2168.5,2182.22
93,2016-08-18,2181.9,2187.03,2180.46,2187.02
92,2016-08-19,2184.24,2185.0,2175.13,2183.87
91,2016-08-22,2181.58,2185.15,2175.96,2182.64
90,2016-08-23,2187.81,2193.42,2186.8,2186.9
89,2016-08-24,2185.09,2186.66,2171.25,2175.44
88,2016-08-25,2173.29,2179.0,2169.74,2172.47
87,2016-08-26,2175.1,2187.94,2160.39,2169.04
86,2016-08-29,2170.19,2183.48,2170.19,2180.38
85,2016-08-30,2179.45,2182.27,2170.41,2176.12
84,2016-08-31,2173.56,2173.79,2161.35,2170.95
83,2016-09-01,2171.33,2173.56,2157.09,2170.86
82,2016-09-02,2177.49,2184.87,2173.59,2179.98
81,2016-09-06,2181.61,2186.57,2175.1,2186.48
80,2016-09-07,2185.17,2187.87,2179.07,2186.16
79,2016-09-08,2182.76,2184.94,2177.49,2181.3
78,2016-09-09,2169.08,2169.08,2127.81,2127.81
77,2016-09-12,2120.86,2163.3,2119.12,2159.04
76,2016-09-13,2150.47,2150.47,2120.27,2127.02
75,2016-09-14,2127.86,2141.33,2119.9,2125.77
74,2016-09-15,2125.36,2151.31,2122.36,2147.26
73,2016-09-16,2146.48,2146.48,2131.2,2139.16
72,2016-09-19,2143.99,2153.61,2135.91,2139.12
71,2016-09-20,2145.94,2150.8,2139.17,2139.76
70,2016-09-21,2144.58,2165.11,2139.57,2163.12
69,2016-09-22,2170.94,2179.99,2170.94,2177.18
68,2016-09-23,2173.29,2173.75,2163.97,2164.69
67,2016-09-26,2158.54,2158.54,2145.04,2146.1
66,2016-09-27,2146.04,2161.13,2141.55,2159.93
65,2016-09-28,2161.85,2172.4,2151.79,2171.37
64,2016-09-29,2168.9,2172.67,2145.2,2151.13
63,2016-09-30,2156.51,2175.3,2156.51,2168.27
62,2016-10-03,2164.33,2164.41,2154.77,2161.2
61,2016-10-04,2163.37,2165.46,2144.01,2150.49
60,2016-10-05,2155.15,2163.95,2155.15,2159.73
59,2016-10-06,2158.22,2162.93,2150.28,2160.77
58,2016-10-07,2164.19,2165.86,2144.85,2153.74
57,2016-10-10,2160.39,2169.6,2160.39,2163.66
56,2016-10-11,2161.35,2161.56,2128.84,2136.73
55,2016-10-12,2137.67,2145.36,2132.77,2139.18
54,2016-10-13,2130.26,2138.19,2114.74,2132.55
53,2016-10-14,2139.68,2149.19,2132.98,2132.98
52,2016-10-17,2132.95,2135.61,2124.43,2126.5
51,2016-10-18,2138.31,2144.38,2135.49,2139.6
50,2016-10-19,2140.81,2148.44,2138.15,2144.29
49,2016-10-20,2142.51,2147.18,2133.44,2141.34
48,2016-10-21,2139.43,2142.63,2130.09,2141.16
47,2016-10-24,2148.5,2154.79,2146.91,2151.33
46,2016-10-25,2149.72,2151.44,2141.93,2143.16
45,2016-10-26,2136.97,2145.73,2131.59,2139.43
44,2016-10-27,2144.06,2147.13,2132.52,2133.04
43,2016-10-28,2132.23,2140.72,2119.36,2126.41
42,2016-10-31,2129.78,2133.25,2125.53,2126.15
41,2016-11-01,2128.68,2131.45,2097.85,2111.72
40,2016-11-02,2109.43,2111.76,2094.0,2097.94
39,2016-11-03,2098.8,2102.56,2085.23,2088.66
38,2016-11-04,2083.79,2099.07,2083.79,2085.18
37,2016-11-07,2100.59,2132.0,2100.59,2131.52
36,2016-11-08,2129.92,2146.87,2123.56,2139.56
35,2016-11-09,2131.56,2170.1,2125.35,2163.26
34,2016-11-10,2167.49,2182.3,2151.17,2167.48
33,2016-11-11,2162.71,2165.92,2152.49,2164.45
32,2016-11-14,2165.64,2171.36,2156.08,2164.2
31,2016-11-15,2168.29,2180.84,2166.38,2180.39
30,2016-11-16,2177.53,2179.22,2172.2,2176.94
29,2016-11-17,2178.61,2188.06,2176.65,2187.12
28,2016-11-18,2186.85,2189.89,2180.38,2181.9
27,2016-11-21,2186.43,2198.7,2186.43,2198.18
26,2016-11-22,2201.56,2204.8,2194.51,2202.94
25,2016-11-23,2198.55,2204.72,2194.51,2204.72
24,2016-11-25,2206.27,2213.35,2206.27,2213.35
23,2016-11-28,2210.21,2211.14,2200.36,2201.72
